Anitpasti,Bruschetta al Pomodoro,"Grilled artisan bread topped with marinated heirloom tomatoes, fresh basil, and a drizzle of extra virgin olive oil.",../assets/recipe-images/Bruchetta al Pomodoro.jpeg
Anitpasti,Carpaccio di Manzo,"Thinly sliced raw beef tenderloin with arugula, capers, shaved Parmigiano-Reggiano, and a lemon-olive oil dressing.",/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Carpaccio di Manzo.jpeg
Anitpasti,Calamari Fritti ,Lightly fried squid rings served with a spicy marinara sauce and lemon wedges.,/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Calamari Fritti.jpeg
Primi,Spaghetti Carbonara,"Classic Roman dish with pancetta, eggs, Pecorino Romano cheese, and cracked black pepper.",/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Spaghetti Carbonara.jpeg
Primi,Risotto ai Funghi Porcini,"Creamy Arborio rice with porcini mushrooms, white wine, and a touch of truffle oil.",/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Risotto ai Funghi Porcini.jpeg
Primi,Lasagna alla Bolognese ,"Layers of pasta with homemade Bolognese sauce, béchamel, and Parmigiano-Reggiano.",/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Lasagna alla Bolognese.jpeg
Secondi,Saltimbocca alla Romana,"Veal escalopes wrapped in prosciutto and sage, cooked in a white wine and butter sauce.",../assets/recipe-images/Saltimbocca alla Romana.jpeg
Secondi,Pesce del Giorno,"Catch of the day, grilled to perfection, with a side of lemon-infused extra virgin olive oil.",/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Pesce del Giorno.jpeg
Secondi,Melanzane alla Parmigiana ,"Baked eggplant with tomato sauce, mozzarella, basil, and Parmesan cheese.",/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Melanzane alla Parmigiana.jpeg
Contorini,Patate al Rosmarino,Roasted rosemary potatoes with garlic and sea salt.,/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Patate al Rosmarino.jpeg
Contorini,Verdure di Stagione,Seasonal grilled vegetables drizzled with balsamic reduction.,/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Verdure di Stagione.jpeg
Contorini,Insalata Mista ,"Mixed greens with cherry tomatoes, cucumbers, red onions, and a balsamic vinaigrette.",/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Insalata Mista.jpeg
Dolce,Tiramisu,Classic espresso-soaked ladyfingers layered with mascarpone cream and dusted with cocoa powder.,/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Tiramisu.jpeg
Dolce,Gelato Artigianale,"Homemade gelato, ask your server for today’s flavor selections.",/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Gelato Artigianale.jpeg
Dolce,Panna Cotta,Silky smooth cooked cream with vanilla bean and mixed berry coulis.,/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Panna Cotta.jpeg
Bevande,See Drinks Menu,"A selection of Italian wines, beers, soft drinks, and artisanal coffee.",/Users/alan.oconnor/repos/restaraunt-page-project/src/assets/recipe-images/Cappuccino.jpeg
